IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
27091461,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27091512,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27092252,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27091512,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27092252,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27092252,5,11,08,,,,True,False,,,,,,,,,,,,,,,,,,
27092252,6,12,08,,,,True,False,,,,,,,,,,,,,,,,,,
27092252,4,8,08,,,,True,False,,,,,,,,,,,,,,,,,,
27094111,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27095455,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27095455,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27096166,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27099758,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27099911,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27099911,,3,07,,,,,,,,,,,,,,,,,,,,,,,
27099911,,4,07,,,,,,,,,,,,,,,,,,,,,,,
27100309,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27103344,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27103656,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27108708,3,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27109211,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27109604,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27109637,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
27109637,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27111230,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27111230,,4,07,,,,,,,,,,,,,,,,,,,,,,,
27114218,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27116203,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27117617,,2,09,,,,,,,,,,,,,,,,,,,,,,,
27119593,,4,07,,,,,,,,,,,,,,,,,,,,,,,
27120278,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27120278,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27121217,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27121218,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27121218,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27121575,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27128061,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27129312,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27129312,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27129312,,5,09,,,,,,,,,,,,,,,,,,,,,,,
27132390,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27132390,,3,09,,,,,,,,,,,,,,,,,,,,,,,
27133863,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27136267,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27136267,,4,09,,,,,,,,,,,,,,,,,,,,,,,
27136267,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27137917,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27141039,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27141039,,3,07,,31,,,,,,,,,,,,,,,,,,,,,
27142793,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27144456,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27149628,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27149733,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27157294,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27160078,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
27160078,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27153880,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27162553,5,7,08,,,,True,False,,,,,,,,,,,,,,,,,,
27162553,4,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27164144,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27164148,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27170741,,3,09,,,,,,,,,,,,,,,,,,,,,,,
