IncidentId,TrafficControlNo,TrafficControl,
27019509,4,YIELD SIGN,
27020042,1,MEDIAN,
27020042,2,OTHER,
27022103,1,MEDIAN,
27023220,1,CENTER LINE,
27023220,2,STOP & GO SIGNAL,
27023871,1,CENTER LINE,
27023871,2,OTHER,
27024280,1,MEDIAN,
27024280,2,ADVISORY SPEED SIGN,
27024280,3,YIELD SIGN,
27024281,1,WARNING SIGNS,
27024282,1,MEDIAN,
27027044,1,MEDIAN,
27028281,1,MEDIAN,
27028281,2,CENTER LINE,
27028281,3,NO PASSING ZONE,
27028389,1,MEDIAN,
27029638,1,ADVISORY SPEED SIGN,
27029638,2,CENTER LINE,
27029638,3,OFFICER OR FLAGMAN,
27032838,1,MEDIAN,
27033464,1,MEDIAN,
27035819,1,ADVISORY SPEED SIGN,
27035819,2,CENTER LINE,
27035819,3,NO PASSING ZONE,
27035819,4,OTHER,
27037021,1,MEDIAN,
27037021,2,ADVISORY SPEED SIGN,
27037022,1,MEDIAN,
27037223,1,MEDIAN,
27039893,1,MEDIAN,
27040076,1,MEDIAN,
27042816,1,MEDIAN,
27042816,2,OTHER,
27042816,3,WARNING SIGNS,
27044883,1,MEDIAN,
27044885,1,MEDIAN,
27044885,2,ADVISORY SPEED SIGN,
27044885,3,WARNING SIGNS,
27045056,1,MEDIAN,
27045345,1,MEDIAN,
27045980,1,MEDIAN,
27045980,2,CENTER LINE,
27045980,3,OTHER,
27045980,4,WARNING SIGNS,
27048598,1,CENTER LINE,
27048598,2,WARNING SIGNS,
27048786,1,MEDIAN,
27048786,2,ADVISORY SPEED SIGN,
27051153,1,MEDIAN,
27051153,2,OTHER,
27053890,1,MEDIAN,
27053890,2,OFFICER OR FLAGMAN,
27053890,3,STOP SIGN,
27054376,1,CENTER LINE,
27055682,1,MEDIAN,
27055682,2,ACCELERATIONDECELERATION LANE,
27055682,3,OTHER,
27055682,4,STOP SIGN,
27056969,1,CENTER LINE,
27056969,2,MEDIAN,
27056969,3,WARNING SIGNS,
27057575,1,MEDIAN,
27057575,2,OTHER,
27057575,3,WARNING SIGNS,
27059086,1,WARNING SIGNS,
27060107,1,MEDIAN,
27060107,2,ADVISORY SPEED SIGN,
27060107,3,CENTER LINE,
27060127,1,MEDIAN,
27060127,2,CENTER LINE,
27060127,3,OTHER,
27060190,1,ADVISORY SPEED SIGN,
27060190,2,CENTER LINE,
27060190,3,WARNING SIGNS,
27060703,1,MEDIAN,
27062140,1,ADVISORY SPEED SIGN,
27062140,2,CENTER LINE,
27062344,1,MEDIAN,
27063977,1,MEDIAN,
27064606,1,MEDIAN,
27064609,1,MEDIAN,
27065382,1,MEDIAN,
27065830,1,MEDIAN,
27065844,1,ADVISORY SPEED SIGN,
27065844,2,CENTER LINE,
27065844,3,STOP SIGN,
27065901,1,MEDIAN,
27065901,2,OTHER,
27065901,3,WARNING SIGNS,
27065901,4,YIELD SIGN,
27067209,1,MEDIAN,
27067210,1,MEDIAN,
27067344,1,MEDIAN,
27067344,2,OTHER,
27069497,1,MEDIAN,
27069578,1,ADVISORY SPEED SIGN,
27069578,2,MEDIAN,
27069578,3,WARNING SIGNS,
27069699,1,ADVISORY SPEED SIGN,
27069699,2,MEDIAN,
27069701,1,ADVISORY SPEED SIGN,
27069701,2,MEDIAN,
27072704,1,ADVISORY SPEED SIGN,
27073019,1,MEDIAN,
27074427,1,MEDIAN,
27074429,1,MEDIAN,
27075444,1,MEDIAN,
27075444,2,OTHER,
27078103,1,NO PASSING ZONE,
27078576,1,MEDIAN,
27078576,2,ADVISORY SPEED SIGN,
27078576,3,WARNING SIGNS,
27080426,1,MEDIAN,
27081145,1,MEDIAN,
27081145,2,CENTER LINE,
27083502,1,MEDIAN,
27083502,2,WARNING SIGNS,
27083556,1,MEDIAN,
27085661,1,CENTER LINE,
27085661,2,STOP & GO SIGNAL,
27085661,3,WARNING SIGNS,
27085762,1,MEDIAN,
27086208,1,MEDIAN,
27086208,2,ADVISORY SPEED SIGN,
27086210,1,MEDIAN,
27086210,2,ADVISORY SPEED SIGN,
27091461,1,MEDIAN,
27091512,1,MEDIAN,
27091512,2,WARNING SIGNS,
27092252,1,MEDIAN,
27092252,2,ADVISORY SPEED SIGN,
27094111,1,MEDIAN,
27094111,2,ADVISORY SPEED SIGN,
27094111,3,CENTER LINE,
27095455,1,CENTER LINE,
27095455,2,STOP & GO SIGNAL,
27096166,1,ADVISORY SPEED SIGN,
27096166,2,MEDIAN,
27096166,3,WARNING SIGNS,
27099758,1,MEDIAN,
27099807,1,MEDIAN,
27099911,1,MEDIAN,
27099911,2,OTHER,
27099911,3,WARNING SIGNS,
27099912,1,MEDIAN,
27099912,2,OTHER,
27099912,3,WARNING SIGNS,
27100309,1,MEDIAN,
27100309,2,CENTER LINE,
27102184,1,MEDIAN,
27102184,2,YIELD SIGN,
27103344,1,MEDIAN,
27103656,1,MEDIAN,
27103656,2,ADVISORY SPEED SIGN,
27104205,1,OFFICER OR FLAGMAN,
27108708,1,MEDIAN,
27108708,2,ADVISORY SPEED SIGN,
27108708,3,OTHER,
27109211,1,OFFICER OR FLAGMAN,
27109604,1,CENTER LINE,
27109637,1,MEDIAN,
27111230,1,MEDIAN,
27114218,1,NONE,
27115037,1,CENTER LINE,
27115037,2,MEDIAN,
27116203,1,MEDIAN,
27116203,2,ADVISORY SPEED SIGN,
27116203,3,YIELD SIGN,
27116354,1,MEDIAN,
27117617,1,WARNING SIGNS,
27119593,1,MEDIAN,
27119593,2,ADVISORY SPEED SIGN,
27120278,1,MEDIAN,
27120278,2,OTHER,
27120278,3,WARNING SIGNS,
27121217,1,MEDIAN,
27121217,2,OTHER,
27121217,3,WARNING SIGNS,
27121218,1,MEDIAN,
27121218,2,OTHER,
27121575,1,NONE,
27122544,1,MEDIAN,
27122544,2,CENTER LINE,
27122544,3,OTHER,
27122544,4,WARNING SIGNS,
27128061,1,MEDIAN,
27128061,2,ADVISORY SPEED SIGN,
27129312,1,MEDIAN,
27132390,1,NO PASSING ZONE,
27133863,1,MEDIAN,
27133863,2,CENTER LINE,
27133863,3,YIELD SIGN,
27136041,1,OFFICER OR FLAGMAN,
27136267,1,CENTER LINE,
27136267,2,WARNING SIGNS,
27137917,1,MEDIAN,
27137917,2,ADVISORY SPEED SIGN,
27137917,3,WARNING SIGNS,
27138350,1,CENTER LINE,
27141039,1,NONE,
27142793,1,MEDIAN,
27144456,1,MEDIAN,
27146806,1,MEDIAN,
27149628,1,ADVISORY SPEED SIGN,
27149628,2,STOP & GO SIGNAL,
27149733,1,CENTER LINE,
27149733,2,OTHER,
27153880,1,MEDIAN,
27154295,1,MEDIAN,
27154295,2,WARNING SIGNS,
27155827,1,MEDIAN,
27155827,2,OTHER,
27157294,1,MEDIAN,
27157294,2,ADVISORY SPEED SIGN,
27157294,3,OTHER,
27160078,1,MEDIAN,
27162553,1,MEDIAN,
27164144,1,MEDIAN,
27164144,2,OTHER,
27164144,3,WARNING SIGNS,
27164148,1,MEDIAN,
27164148,2,ADVISORY SPEED SIGN,
27164148,3,WARNING SIGNS,
27164645,1,MEDIAN,
27164645,2,ADVISORY SPEED SIGN,
27166486,1,CENTER LINE,
27166486,2,STOP & GO SIGNAL,
27170197,1,MEDIAN,
27170741,1,MEDIAN,
27170741,2,ADVISORY SPEED SIGN,
27170741,3,NO PASSING ZONE,
27172982,1,MEDIAN,
27173199,1,MEDIAN,
27173199,2,ADVISORY SPEED SIGN,
27173199,3,WARNING SIGNS,
27175275,1,MEDIAN,
27175836,1,MEDIAN,
27175836,2,ADVISORY SPEED SIGN,
27175838,1,ADVISORY SPEED SIGN,
27177889,1,MEDIAN,
27177889,2,STOP & GO SIGNAL,
27177984,1,MEDIAN,
27177984,2,ADVISORY SPEED SIGN,
27177985,1,MEDIAN,
27179664,1,MEDIAN,
27184811,1,MEDIAN,
27186655,1,MEDIAN,
27186655,2,OTHER,
27186655,3,WARNING SIGNS,
27186723,1,MEDIAN,
27186723,2,ADVISORY SPEED SIGN,
27186723,3,CENTER LINE,
27188589,1,ADVISORY SPEED SIGN,
27188589,2,OFFICER OR FLAGMAN,
27188589,3,WARNING SIGNS,
27188589,4,YIELD SIGN,
27188830,1,CENTER LINE,
27189138,1,MEDIAN,
27189138,2,OTHER,
27189138,3,WARNING SIGNS,
27189142,1,MEDIAN,
27189142,2,OTHER,
27189142,3,WARNING SIGNS,
27190866,1,NONE,
