IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,Unnamed: 18
28901569,1.0,TRUCK TRACTOR & SEMI-TRAILER,1.0,True,,DI,5.0,,False,10.0,1.0,True,PTRB,389,SEMI,PETERBILT MOTORS CO.,389,
28916536,2.0,TRUCK-SINGLE UNIT,3.0,False,,DL,5.0,,False,12.0,1.0,True,PTRB,337,SEMI,PETERBILT MOTORS CO.,337,
28923194,1.0,TRUCK-SINGLE UNIT,1.0,True,,DI,5.0,,False,2.0,1.0,True,FRHT,TK,SEMI,FREIGHTLINER,TRUCK,
28806436,2.0,TRUCK-SINGLE UNIT,3.0,False,,DI,5.0,,False,13.0,1.0,True,FRHT,,SEMI,FREIGHTLINER,,
28780821,1.0,TRUCK TRACTOR & SEMI-TRAILER,1.0,True,,DI,5.0,40.0,False,5.0,1.0,True,FRHT,CAS,SEMI,FREIGHTLINER,CASCADIA,
28794990,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,DI,20.0,,False,5.0,1.0,True,FRHT,CAS,SEMI,FREIGHTLINER,CASCADIA,
28903742,1.0,TRUCK TRACTOR & SEMI-TRAILER,1.0,True,,DI,5.0,,False,5.0,1.0,True,KW,T60,SEMI,KENWORTH MOTOR TRUCK CO.,T600/T6 SERIES,
28859740,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,DI,5.0,,False,16.0,1.0,True,FRHT,,SEMI,FREIGHTLINER,TR,
28906838,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,DI,5.0,,False,13.0,1.0,True,FRHT,,SEMI,FREIGHTLINER,,
28795698,1.0,TRUCK TRACTOR & SEMI-TRAILER,1.0,True,,DI,5.0,,False,5.0,1.0,True,PTRB,579,SEMI,PETERBILT MOTORS CO.,579,
28797725,2.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,DI,5.0,,False,16.0,1.0,True,FRHT,CAS,SEMI,FREIGHTLINER,CASCADIA,
28918941,3.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,True,,DI,5.0,,False,16.0,1.0,True,INTL,TKT,SEMI,INTERNATIONAL,TRUCKTRACTOR,
29143403,1.0,TRUCK TRACTOR & SEMI-TRAILER,3.0,False,,DI,5.0,,False,13.0,1.0,True,INTL,LTS,SEMI,INTERNATIONAL,LT SERIES,
28658685,1.0,TRUCK-SINGLE UNIT,3.0,True,,DI,5.0,,False,6.0,1.0,True,PTRB,389,SEMI,PETERBILT MOTORS CO.,389,
29175836,1.0,TRUCK-SINGLE UNIT,3.0,True,,DI,20.0,36.0,False,5.0,1.0,True,PTRB,337,SEMI,PETERBILT MOTORS CO.,337,
29138045,1.0,TRUCK-SINGLE UNIT,3.0,True,,DI,47.0,,False,3.0,5.0,True,INTL,MV6,SEMI,INTERNATIONAL,MV607,
