IncidentId,UnitNumber,Factor_Type,Factor
33248487,1,ENVIRON FACTOR,2
33248487,2,ENVIRON FACTOR,2
33248490,1,ENVIRON FACTOR,2
33248490,2,ENVIRON FACTOR,2
33248868,1,ENVIRON FACTOR,2
33251432,1,ENVIRON FACTOR,2
33251432,2,ENVIRON FACTOR,2
33251442,1,ENVIRON FACTOR,2
33251442,2,ENVIRON FACTOR,2
33251442,3,ENVIRON FACTOR,2
33252437,1,ENVIRON FACTOR,2
33252437,2,ENVIRON FACTOR,2
33253684,1,ENVIRON FACTOR,2
33253684,2,ENVIRON FACTOR,2
33255011,1,ENVIRON FACTOR,2
33255469,1,ENVIRON FACTOR,17
33255469,1,ENVIRON FACTOR,2
33255469,2,ENVIRON FACTOR,17
33255469,2,ENVIRON FACTOR,2
33261651,1,ENVIRON FACTOR,2
33261651,2,ENVIRON FACTOR,99
33261660,1,ENVIRON FACTOR,2
33261660,2,ENVIRON FACTOR,2
33261660,3,ENVIRON FACTOR,2
33261660,4,ENVIRON FACTOR,2
33261660,5,ENVIRON FACTOR,2
33261660,6,ENVIRON FACTOR,2
33264897,1,ENVIRON FACTOR,2
33264897,2,ENVIRON FACTOR,2
33268027,1,ENVIRON FACTOR,2
33268027,2,ENVIRON FACTOR,2
33273284,1,ENVIRON FACTOR,2
33273284,2,ENVIRON FACTOR,2
33274612,1,ENVIRON FACTOR,2
33274612,2,ENVIRON FACTOR,2
33274678,1,ENVIRON FACTOR,2
33274678,1,ENVIRON FACTOR,9
33274678,2,ENVIRON FACTOR,2
33276561,1,ENVIRON FACTOR,2
33276561,2,ENVIRON FACTOR,2
33277414,1,ENVIRON FACTOR,17
33277414,1,ENVIRON FACTOR,2
33277414,2,ENVIRON FACTOR,17
33277414,2,ENVIRON FACTOR,2
33277416,1,ENVIRON FACTOR,2
33277416,2,ENVIRON FACTOR,2
33277448,1,ENVIRON FACTOR,17
33277448,1,ENVIRON FACTOR,2
33277448,2,ENVIRON FACTOR,17
33277448,2,ENVIRON FACTOR,2
