IncidentId,UnitNumber,Factor_Type,Factor,
31529219,1,ENVIRON FACTOR,02,
31529219,2,ENVIRON FACTOR,02,
31529219,3,ENVIRON FACTOR,02,
31529219,4,ENVIRON FACTOR,02,
31529502,1,ENVIRON FACTOR,02,
31530391,1,ENVIRON FACTOR,02,
31530391,2,ENVIRON FACTOR,02,
31536973,1,ENVIRON FACTOR,02,
31536973,2,ENVIRON FACTOR,99,
31537669,1,ENVIRON FACTOR,02,
31537669,1,ENVIRON FACTOR,09,
31537669,2,ENVIRON FACTOR,09,
31539233,1,ENVIRON FACTOR,02,
31539233,2,ENVIRON FACTOR,99,
31539455,1,ENVIRON FACTOR,02,
31539455,2,ENVIRON FACTOR,02,
31542557,1,ENVIRON FACTOR,02,
31542557,2,ENVIRON FACTOR,02,
31544410,1,ENVIRON FACTOR,02,
31544410,1,ENVIRON FACTOR,09,
31544410,2,ENVIRON FACTOR,02,
31547684,1,ENVIRON FACTOR,02,
31547684,2,ENVIRON FACTOR,99,
31549938,1,ENVIRON FACTOR,02,
31549938,2,ENVIRON FACTOR,17,
31549938,2,ENVIRON FACTOR,02,
31549938,3,ENVIRON FACTOR,02,
31552674,1,ENVIRON FACTOR,02,
31552674,2,ENVIRON FACTOR,02,
31552749,1,ENVIRON FACTOR,02,
31552749,2,ENVIRON FACTOR,02,
31553063,1,ENVIRON FACTOR,02,
31553063,2,ENVIRON FACTOR,02,
31561524,1,ENVIRON FACTOR,02,
31561524,2,ENVIRON FACTOR,02,
31566238,1,ENVIRON FACTOR,02,
31566238,2,ENVIRON FACTOR,02,
31567304,1,ENVIRON FACTOR,99,
31567304,2,ENVIRON FACTOR,02,
31567355,2,ENVIRON FACTOR,02,
31567374,1,ENVIRON FACTOR,17,
31567374,1,ENVIRON FACTOR,02,
31567374,2,ENVIRON FACTOR,17,
31567374,3,ENVIRON FACTOR,17,
31567374,4,ENVIRON FACTOR,17,
31567374,5,ENVIRON FACTOR,17,
31567391,1,ENVIRON FACTOR,02,
31567391,2,ENVIRON FACTOR,99,
31567454,1,ENVIRON FACTOR,02,
31567454,1,ENVIRON FACTOR,09,
31567454,2,ENVIRON FACTOR,02,
31573041,1,ENVIRON FACTOR,02,
31573041,1,ENVIRON FACTOR,12,
31573041,2,ENVIRON FACTOR,02,
31574000,1,ENVIRON FACTOR,09,
31574000,2,ENVIRON FACTOR,02,
31581802,1,ENVIRON FACTOR,02,
31581802,2,ENVIRON FACTOR,99,
31582331,1,ENVIRON FACTOR,02,
31582331,2,ENVIRON FACTOR,02,
31582767,1,ENVIRON FACTOR,02,
31582767,1,ENVIRON FACTOR,97,
31582767,2,ENVIRON FACTOR,99,
31582767,3,ENVIRON FACTOR,99,
31587668,1,ENVIRON FACTOR,02,
31587668,2,ENVIRON FACTOR,02,
