IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
29979969,2,3,1,INSTALLED/NOT DEPLOYED,
29980755,1,1,1,INSTALLED/NOT DEPLOYED,
29981525,1,1,1,INSTALLED/NOT DEPLOYED,
29981525,2,2,1,INSTALLED/NOT DEPLOYED,
29982349,1,1,1,INSTALLED/NOT DEPLOYED,
29982349,2,3,1,INSTALLED/NOT DEPLOYED,
29982349,2,4,1,INSTALLED/NOT DEPLOYED,
29983176,1,1,1,INSTALLED/NOT DEPLOYED,
29983176,2,2,1,INSTALLED/NOT DEPLOYED,
29984582,1,1,1,DEPLOYED-COMBINATION,
29984582,2,2,1,INSTALLED/NOT DEPLOYED,
29984582,3,3,1,INSTALLED/NOT DEPLOYED,
29986389,1,1,1,INSTALLED/NOT DEPLOYED,
29986389,1,2,1,INSTALLED/NOT DEPLOYED,
29986389,1,3,1,INSTALLED/NOT DEPLOYED,
29986389,1,4,1,NOT INSTALLED,
29986389,1,5,1,NOT INSTALLED,
29986389,1,6,1,NOT INSTALLED,
29986389,2,7,1,INSTALLED/NOT DEPLOYED,
29991787,1,1,1,INSTALLED/NOT DEPLOYED,
29991787,2,2,1,INSTALLED/NOT DEPLOYED,
29991787,2,3,1,INSTALLED/NOT DEPLOYED,
29992964,1,1,1,INSTALLED/NOT DEPLOYED,
29992964,2,2,1,INSTALLED/NOT DEPLOYED,
29992964,3,3,1,INSTALLED/NOT DEPLOYED,
29993159,2,1,1,NOT INSTALLED,
29993467,1,1,1,INSTALLED/NOT DEPLOYED,
29993467,2,3,1,INSTALLED/NOT DEPLOYED,
29993467,2,4,1,INSTALLED/NOT DEPLOYED,
29996739,1,1,1,NOT INSTALLED,
29996739,2,3,1,INSTALLED/NOT DEPLOYED,
29999898,1,1,1,INSTALLED/NOT DEPLOYED,
29999898,2,3,1,INSTALLED/NOT DEPLOYED,
29999898,2,4,1,INSTALLED/NOT DEPLOYED,
29999898,3,5,1,INSTALLED/NOT DEPLOYED,
29999898,3,6,1,INSTALLED/NOT DEPLOYED,
30001885,1,1,1,INSTALLED/NOT DEPLOYED,
30001885,1,2,1,INSTALLED/NOT DEPLOYED,
30001885,2,3,1,INSTALLED/NOT DEPLOYED,
30003051,1,1,1,INSTALLED/NOT DEPLOYED,
30003051,2,3,1,INSTALLED/NOT DEPLOYED,
30003051,2,4,1,INSTALLED/NOT DEPLOYED,
30003051,2,5,1,INSTALLED/NOT DEPLOYED,
30003664,1,1,1,INSTALLED/NOT DEPLOYED,
30007539,1,1,1,INSTALLED/NOT DEPLOYED,
30007795,1,1,1,INSTALLED/NOT DEPLOYED,
30008332,1,1,1,DEPLOYED-COMBINATION,
30008332,2,2,1,INSTALLED/NOT DEPLOYED,
30008332,2,3,1,INSTALLED/NOT DEPLOYED,
30011569,1,1,1,DEPLOYED-FRONT,
30011569,2,2,1,DEPLOYED-FRONT,
30011569,2,3,1,DEPLOYED-FRONT,
30011569,3,4,1,INSTALLED/NOT DEPLOYED,
30011569,3,5,1,NOT INSTALLED,
30011569,4,7,1,INSTALLED/NOT DEPLOYED,
30014629,1,1,1,INSTALLED/NOT DEPLOYED,
30014629,2,3,1,INSTALLED/NOT DEPLOYED,
30014629,2,4,1,INSTALLED/NOT DEPLOYED,
30016145,1,1,1,INSTALLED/NOT DEPLOYED,
30016145,2,2,1,INSTALLED/NOT DEPLOYED,
30016268,1,1,1,INSTALLED/NOT DEPLOYED,
30016268,2,3,1,INSTALLED/NOT DEPLOYED,
30016301,1,1,1,DEPLOYED-FRONT,
30016301,2,3,1,INSTALLED/NOT DEPLOYED,
30016309,1,1,1,INSTALLED/NOT DEPLOYED,
30016309,2,2,1,INSTALLED/NOT DEPLOYED,
30016309,3,3,1,INSTALLED/NOT DEPLOYED,
30022714,1,1,1,NOT INSTALLED,
30022714,2,3,1,INSTALLED/NOT DEPLOYED,
30023088,1,1,1,INSTALLED/NOT DEPLOYED,
30023088,2,2,1,INSTALLED/NOT DEPLOYED,
30024733,1,1,1,INSTALLED/NOT DEPLOYED,
30024733,2,3,1,INSTALLED/NOT DEPLOYED,
30025646,1,2,1,INSTALLED/NOT DEPLOYED,
