IncidentId,TrafficControlNo,TrafficControl,
30545594,1,MEDIAN,
30545594,2,OTHER,
30549435,1,ADVISORY SPEED SIGN,
30549435,2,MEDIAN,
30549435,3,STOP & GO SIGNAL,
30550807,1,NO PASSING ZONE,
30550807,2,OTHER,
30550885,1,MEDIAN,
30550885,2,OFFICER OR FLAGMAN,
30550885,3,WARNING SIGNS,
30550983,1,MEDIAN,
30550985,1,MEDIAN,
30550985,2,ADVISORY SPEED SIGN,
30550985,3,CENTER LINE,
30550985,4,OTHER,
30551881,1,MEDIAN,
30551887,1,MEDIAN,
30552178,1,MEDIAN,
30552207,1,ADVISORY SPEED SIGN,
30552207,2,OTHER,
30552207,3,WARNING SIGNS,
30556564,1,MEDIAN,
