IncidentId,UnitNumber,Factor_Type,Factor,
28112807,1,ENVIRON FACTOR,17,
28112807,1,ENVIRON FACTOR,02,
28112807,2,ENVIRON FACTOR,02,
28116675,1,ENVIRON FACTOR,02,
28116675,2,ENVIRON FACTOR,02,
28116701,1,ENVIRON FACTOR,02,
27877027,1,HUMAN FACTOR,14,
27877027,1,VEHICULAR FACTOR,99,
27877027,2,HUMAN FACTOR,99,
27877027,2,VEHICULAR FACTOR,99,
27899783,1,HUMAN FACTOR,14,
27899783,1,VEHICULAR FACTOR,99,
27899783,2,HUMAN FACTOR,99,
27899783,2,VEHICULAR FACTOR,99,
27904812,2,HUMAN FACTOR,99,
27904812,2,VEHICULAR FACTOR,99,
27918680,1,HUMAN FACTOR,18,
27918680,1,VEHICULAR FACTOR,99,
27918680,2,HUMAN FACTOR,99,
27918680,2,VEHICULAR FACTOR,99,
27918680,3,HUMAN FACTOR,99,
27918680,3,VEHICULAR FACTOR,99,
27923551,1,HUMAN FACTOR,08,
27923551,1,HUMAN FACTOR,11,
27923551,1,HUMAN FACTOR,14,
27923551,1,VEHICULAR FACTOR,99,
27924693,1,HUMAN FACTOR,99,
27924693,1,VEHICULAR FACTOR,99,
27924693,2,HUMAN FACTOR,99,
27924693,2,VEHICULAR FACTOR,99,
27931926,1,HUMAN FACTOR,17,
27931926,1,VEHICULAR FACTOR,99,
27931926,2,HUMAN FACTOR,99,
27931926,2,VEHICULAR FACTOR,99,
27934406,1,HUMAN FACTOR,18,
27934406,1,VEHICULAR FACTOR,99,
27934406,2,HUMAN FACTOR,99,
27934406,2,VEHICULAR FACTOR,99,
27941670,1,HUMAN FACTOR,14,
27941670,1,VEHICULAR FACTOR,99,
27941670,2,HUMAN FACTOR,99,
27941670,2,VEHICULAR FACTOR,99,
27947197,1,HUMAN FACTOR,17,
27947197,1,VEHICULAR FACTOR,99,
27947197,2,HUMAN FACTOR,99,
27947197,2,VEHICULAR FACTOR,99,
27953060,1,HUMAN FACTOR,99,
27953060,1,VEHICULAR FACTOR,09,
27954733,1,HUMAN FACTOR,17,
27954733,1,VEHICULAR FACTOR,99,
27954733,2,HUMAN FACTOR,99,
27954733,2,VEHICULAR FACTOR,99,
27955457,1,HUMAN FACTOR,14,
27955457,1,VEHICULAR FACTOR,99,
27955457,2,HUMAN FACTOR,99,
27955457,2,VEHICULAR FACTOR,99,
27958919,1,HUMAN FACTOR,97,
27958919,1,VEHICULAR FACTOR,99,
27958919,2,HUMAN FACTOR,99,
27958919,2,VEHICULAR FACTOR,99,
27972287,1,HUMAN FACTOR,99,
27972287,1,VEHICULAR FACTOR,99,
27972287,2,HUMAN FACTOR,99,
27972287,2,VEHICULAR FACTOR,99,
27977060,1,HUMAN FACTOR,17,
27977060,1,VEHICULAR FACTOR,99,
27977060,2,HUMAN FACTOR,99,
27977060,2,VEHICULAR FACTOR,99,
27985632,1,HUMAN FACTOR,14,
27985632,1,VEHICULAR FACTOR,99,
27985632,2,HUMAN FACTOR,99,
27985632,2,VEHICULAR FACTOR,99,
27989352,1,HUMAN FACTOR,01,
27989352,1,HUMAN FACTOR,14,
27989352,1,HUMAN FACTOR,18,
27989352,1,VEHICULAR FACTOR,07,
27989994,1,HUMAN FACTOR,18,
27989994,1,VEHICULAR FACTOR,99,
27989994,2,HUMAN FACTOR,99,
27989994,2,VEHICULAR FACTOR,99,
27993776,1,HUMAN FACTOR,14,
27993776,1,HUMAN FACTOR,18,
27993776,1,VEHICULAR FACTOR,99,
27993776,2,HUMAN FACTOR,99,
27993776,2,VEHICULAR FACTOR,99,
27993776,3,HUMAN FACTOR,99,
27993776,3,VEHICULAR FACTOR,99,
27996741,1,HUMAN FACTOR,08,
27996741,1,HUMAN FACTOR,11,
27996741,1,VEHICULAR FACTOR,99,
27996741,2,HUMAN FACTOR,11,
27996741,2,VEHICULAR FACTOR,99,
27996741,3,HUMAN FACTOR,99,
27996741,3,VEHICULAR FACTOR,99,
28000227,1,HUMAN FACTOR,99,
28000227,1,VEHICULAR FACTOR,99,
28000369,1,HUMAN FACTOR,26,
28000369,1,VEHICULAR FACTOR,99,
28000369,2,HUMAN FACTOR,99,
28000369,2,VEHICULAR FACTOR,99,
28001397,1,HUMAN FACTOR,14,
28001397,1,VEHICULAR FACTOR,99,
28001397,2,HUMAN FACTOR,99,
28001397,2,VEHICULAR FACTOR,99,
28002405,1,HUMAN FACTOR,99,
28002405,1,VEHICULAR FACTOR,99,
28002405,2,HUMAN FACTOR,99,
28002405,2,VEHICULAR FACTOR,99,
28004201,1,HUMAN FACTOR,14,
28004201,1,VEHICULAR FACTOR,99,
28004201,2,HUMAN FACTOR,99,
28004201,2,VEHICULAR FACTOR,99,
28004201,3,HUMAN FACTOR,99,
28004201,3,VEHICULAR FACTOR,99,
28009776,1,HUMAN FACTOR,14,
28009776,1,VEHICULAR FACTOR,99,
28009776,2,HUMAN FACTOR,99,
28009776,2,VEHICULAR FACTOR,99,
28009776,3,HUMAN FACTOR,99,
28009776,3,VEHICULAR FACTOR,99,
28009992,1,HUMAN FACTOR,02,
28009992,1,HUMAN FACTOR,04,
28009992,1,HUMAN FACTOR,14,
28009992,1,VEHICULAR FACTOR,99,
28010101,1,HUMAN FACTOR,14,
28010101,1,VEHICULAR FACTOR,99,
28010453,1,HUMAN FACTOR,01,
28010453,1,HUMAN FACTOR,05,
28010453,1,HUMAN FACTOR,19,
28010453,1,VEHICULAR FACTOR,99,
28012087,1,HUMAN FACTOR,14,
28012087,1,HUMAN FACTOR,17,
28012087,1,VEHICULAR FACTOR,99,
28012087,2,HUMAN FACTOR,99,
28012087,2,VEHICULAR FACTOR,99,
28014535,1,HUMAN FACTOR,14,
28014535,1,HUMAN FACTOR,18,
28014535,1,VEHICULAR FACTOR,99,
28014535,2,HUMAN FACTOR,99,
28014535,2,VEHICULAR FACTOR,99,
28017733,1,HUMAN FACTOR,01,
28017733,1,HUMAN FACTOR,05,
28017733,1,VEHICULAR FACTOR,99,
28019445,1,HUMAN FACTOR,26,
28019445,1,HUMAN FACTOR,08,
28019445,1,VEHICULAR FACTOR,99,
28019445,2,HUMAN FACTOR,99,
28019445,2,VEHICULAR FACTOR,99,
28021726,1,HUMAN FACTOR,99,
28021726,1,VEHICULAR FACTOR,99,
28021726,2,HUMAN FACTOR,99,
28021726,2,VEHICULAR FACTOR,99,
28024356,1,HUMAN FACTOR,14,
28024356,1,VEHICULAR FACTOR,99,
28024356,2,HUMAN FACTOR,99,
28024356,2,VEHICULAR FACTOR,99,
28026208,1,HUMAN FACTOR,23,
28026208,1,VEHICULAR FACTOR,99,
28026208,2,HUMAN FACTOR,99,
28026208,2,VEHICULAR FACTOR,99,
28026295,1,HUMAN FACTOR,11,
28026295,1,HUMAN FACTOR,14,
28026295,1,VEHICULAR FACTOR,99,
28026295,2,HUMAN FACTOR,99,
28026295,2,VEHICULAR FACTOR,99,
28026407,1,HUMAN FACTOR,26,
28026407,1,HUMAN FACTOR,08,
28026407,1,HUMAN FACTOR,14,
28026407,1,VEHICULAR FACTOR,99,
28026407,2,HUMAN FACTOR,99,
28026407,2,VEHICULAR FACTOR,99,
28026426,1,HUMAN FACTOR,11,
28026426,1,HUMAN FACTOR,14,
28026426,1,VEHICULAR FACTOR,99,
28026426,2,HUMAN FACTOR,99,
28026426,2,VEHICULAR FACTOR,99,
28034752,1,HUMAN FACTOR,26,
28034752,1,HUMAN FACTOR,14,
28034752,1,HUMAN FACTOR,17,
28034752,1,VEHICULAR FACTOR,99,
28034752,2,HUMAN FACTOR,99,
28034752,2,VEHICULAR FACTOR,99,
28035286,1,HUMAN FACTOR,14,
28035286,1,HUMAN FACTOR,18,
28035286,1,HUMAN FACTOR,22,
28035286,1,VEHICULAR FACTOR,99,
28035286,2,HUMAN FACTOR,99,
28035286,2,VEHICULAR FACTOR,99,
28041215,1,HUMAN FACTOR,18,
28041215,1,VEHICULAR FACTOR,99,
28041215,2,HUMAN FACTOR,99,
28041215,2,VEHICULAR FACTOR,99,
28042876,1,HUMAN FACTOR,99,
28042876,1,VEHICULAR FACTOR,99,
28042876,2,HUMAN FACTOR,99,
28042876,2,VEHICULAR FACTOR,99,
28042990,1,HUMAN FACTOR,97,
28042990,1,VEHICULAR FACTOR,99,
28042990,2,HUMAN FACTOR,99,
28042990,2,VEHICULAR FACTOR,99,
28043009,1,HUMAN FACTOR,17,
28043009,1,VEHICULAR FACTOR,99,
28043009,2,HUMAN FACTOR,99,
28043009,2,VEHICULAR FACTOR,99,
28046964,1,HUMAN FACTOR,99,
28046964,1,VEHICULAR FACTOR,99,
28053153,1,HUMAN FACTOR,99,
28053153,1,VEHICULAR FACTOR,99,
28053153,2,HUMAN FACTOR,99,
28053153,2,VEHICULAR FACTOR,99,
28056453,1,HUMAN FACTOR,05,
28056453,1,VEHICULAR FACTOR,99,
28056747,1,HUMAN FACTOR,08,
28056747,1,HUMAN FACTOR,18,
28056747,1,VEHICULAR FACTOR,99,
28056747,2,HUMAN FACTOR,99,
28056747,2,VEHICULAR FACTOR,99,
28057508,1,HUMAN FACTOR,14,
28057508,1,HUMAN FACTOR,18,
28057508,1,VEHICULAR FACTOR,99,
28057508,2,HUMAN FACTOR,99,
28057508,2,VEHICULAR FACTOR,99,
28061268,1,HUMAN FACTOR,18,
28061268,1,VEHICULAR FACTOR,01,
28061268,2,HUMAN FACTOR,99,
28061268,2,VEHICULAR FACTOR,99,
28061268,3,HUMAN FACTOR,99,
28061268,3,VEHICULAR FACTOR,99,
28062541,1,HUMAN FACTOR,14,
28062541,1,VEHICULAR FACTOR,99,
28062541,2,HUMAN FACTOR,99,
28062541,2,VEHICULAR FACTOR,99,
28063742,1,HUMAN FACTOR,05,
28063742,1,HUMAN FACTOR,26,
28063742,1,HUMAN FACTOR,10,
28063742,1,VEHICULAR FACTOR,99,
28066882,1,HUMAN FACTOR,14,
28066882,1,VEHICULAR FACTOR,99,
28066882,2,HUMAN FACTOR,99,
28066882,2,VEHICULAR FACTOR,99,
28071866,1,HUMAN FACTOR,26,
28071866,1,HUMAN FACTOR,14,
28071866,1,VEHICULAR FACTOR,99,
28071866,2,HUMAN FACTOR,99,
28071866,2,VEHICULAR FACTOR,99,
28073611,1,HUMAN FACTOR,01,
28073611,1,HUMAN FACTOR,13,
28073611,1,HUMAN FACTOR,17,
28073611,1,VEHICULAR FACTOR,99,
28073611,2,HUMAN FACTOR,99,
28073611,2,VEHICULAR FACTOR,99,
28074014,1,HUMAN FACTOR,08,
28074014,1,VEHICULAR FACTOR,99,
28074014,2,HUMAN FACTOR,99,
28074014,2,VEHICULAR FACTOR,99,
28075899,1,HUMAN FACTOR,11,
28075899,1,VEHICULAR FACTOR,99,
28075899,2,HUMAN FACTOR,99,
28075899,2,VEHICULAR FACTOR,99,
28085334,1,HUMAN FACTOR,04,
28085334,1,VEHICULAR FACTOR,99,
28085334,2,HUMAN FACTOR,99,
28085334,2,VEHICULAR FACTOR,99,
28085485,1,HUMAN FACTOR,07,
28085485,1,VEHICULAR FACTOR,99,
28085485,2,HUMAN FACTOR,99,
28085485,2,VEHICULAR FACTOR,99,
28085945,1,HUMAN FACTOR,04,
28085945,1,VEHICULAR FACTOR,99,
28085945,2,HUMAN FACTOR,99,
28085945,2,VEHICULAR FACTOR,99,
28094820,1,HUMAN FACTOR,14,
28094820,1,VEHICULAR FACTOR,99,
28094820,2,HUMAN FACTOR,99,
28094820,2,VEHICULAR FACTOR,99,
28098980,1,HUMAN FACTOR,99,
28098980,1,VEHICULAR FACTOR,99,
28098980,2,HUMAN FACTOR,99,
28098980,2,VEHICULAR FACTOR,99,
28098980,3,HUMAN FACTOR,99,
28098980,3,VEHICULAR FACTOR,99,
28098980,4,HUMAN FACTOR,99,
28098980,4,VEHICULAR FACTOR,99,
28104166,1,HUMAN FACTOR,08,
28104166,1,VEHICULAR FACTOR,99,
28104166,2,HUMAN FACTOR,99,
28104166,2,VEHICULAR FACTOR,99,
28108567,1,HUMAN FACTOR,08,
28108567,1,HUMAN FACTOR,11,
28108567,1,HUMAN FACTOR,14,
28108567,1,VEHICULAR FACTOR,99,
28108567,2,HUMAN FACTOR,11,
28108567,2,VEHICULAR FACTOR,99,
28108567,3,HUMAN FACTOR,99,
28108567,3,VEHICULAR FACTOR,99,
28109800,1,HUMAN FACTOR,14,
28109800,1,VEHICULAR FACTOR,99,
28109800,2,HUMAN FACTOR,99,
28109800,2,VEHICULAR FACTOR,99,
28111347,1,HUMAN FACTOR,14,
28111347,1,HUMAN FACTOR,18,
28111347,1,VEHICULAR FACTOR,99,
28111539,1,HUMAN FACTOR,17,
28111539,1,VEHICULAR FACTOR,99,
28111539,2,HUMAN FACTOR,99,
28111539,2,VEHICULAR FACTOR,99,
28111539,3,HUMAN FACTOR,99,
28111539,3,VEHICULAR FACTOR,99,
28111851,1,HUMAN FACTOR,14,
28111851,1,VEHICULAR FACTOR,99,
28111851,2,HUMAN FACTOR,99,
28111851,2,VEHICULAR FACTOR,99,
28112807,1,HUMAN FACTOR,11,
28112807,1,VEHICULAR FACTOR,99,
