IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
30622439,3,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,MITS,GAL,4 DOOR,MITSUBISHI,GALANT,
30624807,1,PASSENGER CAR,02,False,,DI,05,,False,03,01,True,HOND,ACC,4 DOOR,HONDA,ACCORD,
30616237,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,HOND,CIV,4 DOOR,HONDA,CIVIC,
30616237,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30612807,2,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,HOND,ACC,4 DOOR,HONDA,ACCORD,
30451943,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,HYUN,SON,4 DOOR,HYUNDAI,SONATA,
30462131,1,PASSENGER CAR,01,False,,DI,05,16,False,05,01,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
30471760,1,PASSENGER CAR,03,False,,DI,46,,False,02,01,True,KIA,OPT,4 DOOR,KIA MOTORS CORPORATION,OPTIMA,
30476448,1,PASSENGER CAR,01,False,,DI,05,,False,03,01,False,CHEV,CRZ,4 DOOR,CHEVROLET,CRUZE,
30507506,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,NISS,SEN,4 DOOR,NISSAN,SENTRA,
30507506,2,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,KIA,OPT,4 DOOR,KIA MOTORS CORPORATION,OPTIMA,
30498722,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,False,FORD,FIE,4 DOOR,FORD,FIESTA,
30498722,2,PASSENGER CAR,01,False,,DI,05,,False,16,01,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
30632743,1,PASSENGER CAR,03,False,,DI,05,,False,07,01,True,TOYT,AVA,4 DOOR,TOYOTA,AVALON,
30485452,1,PASSENGER CAR,01,False,,DI,05,,False,05,06,True,LEXS,E35,4 DOOR,LEXUS,ES350,
30605330,4,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,FORD,TAU,4 DOOR,FORD,TAURUS,
30612771,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30488493,1,PASSENGER CAR,03,False,,DI,05,,False,02,01,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
30512991,1,PASSENGER CAR,03,False,,DI,05,,False,07,01,True,KIA,FRT,4 DOOR,KIA MOTORS CORPORATION,FORTE,
30611132,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,BMW,335,4 DOOR,BMW,335 SERIES,
30611132,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,KIA,FRT,4 DOOR,KIA MOTORS CORPORATION,FORTE,
30612654,1,PASSENGER CAR,03,False,,DI,05,,False,08,01,True,DODG,AVN,4 DOOR,DODGE,AVENGER,
30540479,1,PASSENGER CAR,01,False,,DI,05,47,False,98,01,False,CHRY,300,4 DOOR,CHRYSLER,300  SERIES,
30421074,3,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,HOND,ACC,4 DOOR,HONDA,ACCORD,
30418087,3,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,TOYT,AVA,4 DOOR,TOYOTA,AVALON,
30418546,1,PASSENGER CAR,03,False,,DI,05,,False,05,06,False,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
30411641,5,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,CHEV,HHR,4 DOOR,CHEVROLET,HHR,
30543079,1,PASSENGER CAR,03,False,,DI,05,41,False,05,01,True,LEXS,G43,4 DOOR,LEXUS,GS430,
30534531,1,PASSENGER CAR,01,False,,DI,52,,False,05,01,True,LINC,MKZ,4 DOOR,LINCOLN,MKZ,
30538985,2,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,VOLK,JET,4 DOOR,VOLKSWAGEN,JETTA,
30550983,2,PASSENGER CAR,02,False,,DI,05,,False,05,01,True,HYUN,SON,4 DOOR,HYUNDAI,SONATA,
30550985,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,LEXS,E35,4 DOOR,LEXUS,ES350,
30550985,2,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,KIA,FRT,4 DOOR,KIA MOTORS CORPORATION,FORTE,
30551881,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30556564,1,PASSENGER CAR,01,False,,DI,05,41,False,03,01,True,FORD,FOC,4 DOOR,FORD,FOCUS/FOCUS RS,
30551887,1,PASSENGER CAR,01,False,,DI,05,51,False,05,01,False,CHEV,CRZ,4 DOOR,CHEVROLET,CRUZE,
30527821,1,PASSENGER CAR,01,False,,DI,05,15,False,05,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
30519641,1,PASSENGER CAR,01,False,,DI,05,,False,10,01,True,KIA,OPT,4 DOOR,KIA MOTORS CORPORATION,OPTIMA,
30478816,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,False,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
30497003,1,PASSENGER CAR,03,False,,DI,05,16,False,03,01,False,FORD,FUS,4 DOOR,FORD,FUSION,
30531614,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,BMW,325,4 DOOR,BMW,325,
30531614,2,PASSENGER CAR,01,False,,DI,05,41,False,05,01,True,HYUN,ELN,4 DOOR,HYUNDAI,ELANTRA,
30533673,1,PASSENGER CAR,03,False,,DI,16,,False,05,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
30527458,1,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,CHRY,300,4 DOOR,CHRYSLER,300  SERIES,
30526462,2,PASSENGER CAR,03,False,,DI,05,16,False,10,01,True,HYUN,ELN,4 DOOR,HYUNDAI,ELANTRA,
30527186,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,TOYT,YAR,4 DOOR,TOYOTA,YARIS,
30520867,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,FORD,FOC,4 DOOR,FORD,FOCUS/FOCUS RS,
30513005,1,PASSENGER CAR,01,False,,DI,05,52,False,05,01,False,TOYT,COA,4 DOOR,TOYOTA,COROLLA,
30513408,3,PASSENGER CAR,03,False,,DI,08,,False,05,01,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
30409364,2,PASSENGER CAR,03,False,,DI,05,,False,16,01,True,DODG,CHA,4 DOOR,DODGE,CHARGER,
30408269,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
30407436,1,PASSENGER CAR,01,False,,DI,23,,False,97,01,True,HYUN,ELN,4 DOOR,HYUNDAI,ELANTRA,
30408148,2,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,HYUN,ELN,4 DOOR,HYUNDAI,ELANTRA,
30408148,1,PASSENGER CAR,03,False,,DI,05,,False,08,01,True,DODG,CHA,4 DOOR,DODGE,CHARGER,
30355792,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
30352091,1,PASSENGER CAR,01,False,,DI,41,41,False,05,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30355054,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,TOYT,COA,4 DOOR,TOYOTA,COROLLA,
30336191,1,PASSENGER CAR,03,False,,DI,05,,False,10,01,True,NISS,VRS,4 DOOR,NISSAN,VERSA,
30355502,1,PASSENGER CAR,03,False,,DI,08,,False,05,01,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
30411641,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,HYUN,GEN,4 DOOR,HYUNDAI,GENESIS,
30408222,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,HOND,CIV,4 DOOR,HONDA,CIVIC,
30360736,2,PASSENGER CAR,03,False,,DI,05,,False,16,01,True,CHEV,CRZ,4 DOOR,CHEVROLET,CRUZE,
30327249,2,PASSENGER CAR,03,False,,DI,05,05,False,13,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30386191,2,PASSENGER CAR,01,False,,DI,05,,False,15,01,True,CHRY,200,4 DOOR,CHRYSLER,200 SERIES,
30386191,3,PASSENGER CAR,01,False,,DI,05,,False,15,01,True,DODG,AVN,4 DOOR,DODGE,AVENGER,
30371401,1,PASSENGER CAR,03,False,,DI,05,,False,05,,True,LEXS,L46,4 DOOR,LEXUS,LS460,
30370434,2,PASSENGER CAR,03,False,,DI,26,,False,08,01,True,KIA,OPT,4 DOOR,KIA MOTORS CORPORATION,OPTIMA,
30323784,1,PASSENGER CAR,01,False,,DI,49,,False,05,01,True,HYUN,ELN,4 DOOR,HYUNDAI,ELANTRA,
30324237,1,PASSENGER CAR,01,False,,UN,05,,False,03,01,False,HOND,CIV,4 DOOR,HONDA,CIVIC,
30324237,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,PONT,GRM,4 DOOR,PONTIAC,GRAND AM,
30319010,2,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,TOYT,CAM,4 DOOR,TOYOTA,CAMRY,
30316167,5,PASSENGER CAR,03,False,,DI,05,05,False,13,01,True,CHEV,CRZ,4 DOOR,CHEVROLET,CRUZE,
30332950,1,PASSENGER CAR,03,False,,DI,46,,False,07,01,False,BUIC,LCR,4 DOOR,BUICK,LACROSSE,
30330039,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,NISS,ALT,4 DOOR,NISSAN,ALTIMA,
30417008,2,PASSENGER CAR,01,False,,DI,05,,False,16,01,True,CHEV,SPK,4 DOOR,CHEVROLET,SPARK,
30412479,1,PASSENGER CAR,01,False,,DI,05,,False,15,01,True,TOYT,COA,4 DOOR,TOYOTA,COROLLA,
30412479,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,VOLK,JET,4 DOOR,VOLKSWAGEN,JETTA,
30421610,2,PASSENGER CAR,03,False,,DI,47,,False,05,01,True,CHEV,MAL,4 DOOR,CHEVROLET,MALIBU,
30421363,3,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,HOND,CIV,4 DOOR,HONDA,CIVIC,
30431958,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,ACUR,TLX,4 DOOR,ACURA,TLX,
30431661,1,PASSENGER CAR,03,False,,DI,49,,False,05,01,True,JAGU,XF,4 DOOR,JAGUAR,XF,
30432259,3,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,KIA,FRT,4 DOOR,KIA MOTORS CORPORATION,FORTE,
30442234,1,PASSENGER CAR,01,False,,DI,05,,False,01,01,True,MITS,,4 DOOR,MITSUBISHI,,
30443896,2,PASSENGER CAR,01,False,,DI,05,,False,16,01,True,CHEV,IMP,4 DOOR,CHEVROLET,IMPALA,
30443896,3,PASSENGER CAR,01,False,,DI,05,,False,16,01,True,HYUN,ELN,4 DOOR,HYUNDAI,ELANTRA,
30387442,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,TOYT,AVA,4 DOOR,TOYOTA,AVALON,
30375903,1,PASSENGER CAR,03,False,,DI,05,,False,07,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30387839,1,PASSENGER CAR,01,False,,DI,32,,False,03,01,True,FORD,FUS,4 DOOR,FORD,FUSION,
30406065,1,PASSENGER CAR,03,False,,DI,32,,False,05,01,True,CHEV,CRZ,4 DOOR,CHEVROLET,CRUZE,
30313183,2,PASSENGER CAR,03,False,,DI,05,,False,16,01,True,HOND,CIV,4 DOOR,HONDA,CIVIC,
30440532,1,PASSENGER CAR,01,False,,DI,04,,False,05,01,True,NISS,VRS,4 DOOR,NISSAN,VERSA,
